timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714321781802,310,Create User,201,Created,Reqres API 1-1,text,true,,901,233,3,3,https://reqres.in/api/users,310,0,0
1714321781818,313,Create User,201,Created,Reqres API 1-2,text,true,,901,233,3,3,https://reqres.in/api/users,313,0,0
1714321782113,32,Get all Users,200,OK,Reqres API 1-1,text,true,,1929,128,3,3,https://reqres.in/api/users?page=2,32,0,0
1714321782132,39,Get all Users,200,OK,Reqres API 1-2,text,true,,1933,128,3,3,https://reqres.in/api/users?page=2,39,0,0
1714321781924,303,Create User,201,Created,Reqres API 1-3,text,true,,901,233,3,3,https://reqres.in/api/users,303,0,0
1714321782228,75,Get all Users,200,OK,Reqres API 1-3,text,true,,1929,128,3,3,https://reqres.in/api/users?page=2,75,0,0
1714321782146,315,Create User,201,Created,Reqres API 1-1,text,true,,893,233,3,3,https://reqres.in/api/users,315,0,0
1714321782172,307,Create User,201,Created,Reqres API 1-2,text,true,,893,233,3,3,https://reqres.in/api/users,307,0,0
1714321782462,41,Get all Users,200,OK,Reqres API 1-1,text,true,,1929,128,3,3,https://reqres.in/api/users?page=2,40,0,0
1714321782480,33,Get all Users,200,OK,Reqres API 1-2,text,true,,1933,128,3,3,https://reqres.in/api/users?page=2,33,0,0
1714321782306,318,Create User,201,Created,Reqres API 1-3,text,true,,893,233,3,3,https://reqres.in/api/users,318,0,0
1714321782625,31,Get all Users,200,OK,Reqres API 1-3,text,true,,1929,128,3,3,https://reqres.in/api/users?page=2,31,0,0
1714321782503,315,Create User,201,Created,Reqres API 1-1,text,true,,893,233,3,3,https://reqres.in/api/users,315,0,0
1714321782513,305,Create User,201,Created,Reqres API 1-2,text,true,,893,233,3,3,https://reqres.in/api/users,305,0,0
1714321782819,34,Get all Users,200,OK,Reqres API 1-2,text,true,,1933,128,3,3,https://reqres.in/api/users?page=2,34,0,0
1714321782819,35,Get all Users,200,OK,Reqres API 1-1,text,true,,1929,128,3,3,https://reqres.in/api/users?page=2,35,0,0
1714321782657,300,Create User,201,Created,Reqres API 1-3,text,true,,893,233,3,3,https://reqres.in/api/users,300,0,0
1714321782958,41,Get all Users,200,OK,Reqres API 1-3,text,true,,1929,128,3,3,https://reqres.in/api/users?page=2,41,0,0
1714321782854,293,Create User,201,Created,Reqres API 1-1,text,true,,893,233,3,3,https://reqres.in/api/users,293,0,0
